EMISSAO;PEDIDO;CLIENTE;PRODUTO;DESCRICAO;QTDE;VALOR;TOTAL;REPRESENTANTE
20/02/2023;32425;SM VIEIRA DIAS DA SILVA DE BAURU LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;10;324;3240;CIDNEI DE FREITAS BAURU
20/02/2023;32502;L F SERRANO - ME;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;1;383,2;383,2;CIDNEI DE FREITAS BAURU
20/02/2023;32530;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
20/02/2023;32530;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
20/02/2023;32530;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
20/02/2023;32530;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
20/02/2023;32530;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
20/02/2023;32530;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
20/02/2023;32531;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
20/02/2023;32531;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
20/02/2023;32531;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
20/02/2023;32531;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
20/02/2023;32531;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
20/02/2023;32531;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
21/02/2023;32523;N ARAUJO MERCADO LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;4;201,5;806;CIDNEI DE FREITAS BAURU
21/02/2023;32523;N ARAUJO MERCADO LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;2;383,2;766,4;CIDNEI DE FREITAS BAURU
21/02/2023;32523;N ARAUJO MERCADO LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;3;163;489;CIDNEI DE FREITAS BAURU
21/02/2023;32523;N ARAUJO MERCADO LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;2;183,2;366,4;CIDNEI DE FREITAS BAURU
21/02/2023;32524;V S PRADO & CIA LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;2;383,2;766,4;CIDNEI DE FREITAS BAURU
21/02/2023;32524;V S PRADO & CIA LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;2;201,48;402,96;CIDNEI DE FREITAS BAURU
21/02/2023;32524;V S PRADO & CIA LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;1;162,96;162,96;CIDNEI DE FREITAS BAURU
21/02/2023;32532;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
21/02/2023;32532;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
21/02/2023;32532;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
21/02/2023;32532;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;375;1875;CIDNEI DE FREITAS BAURU
21/02/2023;32532;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
21/02/2023;32532;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
21/02/2023;32533;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;235,32;3529,8;CIDNEI DE FREITAS BAURU
21/02/2023;32533;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;10;375;3750;CIDNEI DE FREITAS BAURU
21/02/2023;32533;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;235,32;3529,8;CIDNEI DE FREITAS BAURU
21/02/2023;32533;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;10;375;3750;CIDNEI DE FREITAS BAURU
21/02/2023;32533;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;235,32;3529,8;CIDNEI DE FREITAS BAURU
21/02/2023;32533;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;10;375;3750;CIDNEI DE FREITAS BAURU
21/02/2023;32534;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
21/02/2023;32534;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
21/02/2023;32534;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;235,32;2353,2;CIDNEI DE FREITAS BAURU
21/02/2023;32535;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;5;235,32;1176,6;CIDNEI DE FREITAS BAURU
21/02/2023;32535;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;3;375;1125;CIDNEI DE FREITAS BAURU
21/02/2023;32535;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;5;235,32;1176,6;CIDNEI DE FREITAS BAURU
21/02/2023;32535;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;3;375;1125;CIDNEI DE FREITAS BAURU
21/02/2023;32535;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;5;235,32;1176,6;CIDNEI DE FREITAS BAURU
21/02/2023;32535;SM SAO JUDAS TADEU LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;3;375;1125;CIDNEI DE FREITAS BAURU
23/02/2023;32571;JAD ZOGHEIB & CIA LTDA;4059;AZEITE OLIVA EXT VIRG TRADICAO LT 24X200ML;100;214,08;21408;CIDNEI DE FREITAS BAURU
28/02/2023;32618;GRANDD ATAC DE CONGELADOS LTDA;4448S;OLEO COMP SOJA E OLIVA TRADICAO GAL 4X5,01LT;5;297,83;1489,15;CIDNEI DE FREITAS BAURU
28/02/2023;32608;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;4;171,6;686,4;CIDNEI DE FREITAS BAURU
28/02/2023;32608;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;4;171,6;686,4;CIDNEI DE FREITAS BAURU
28/02/2023;32608;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;4;171,6;686,4;CIDNEI DE FREITAS BAURU
28/02/2023;32606;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;7;171,6;1201,2;CIDNEI DE FREITAS BAURU
28/02/2023;32606;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;7;171,6;1201,2;CIDNEI DE FREITAS BAURU
28/02/2023;32606;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;7;171,6;1201,2;CIDNEI DE FREITAS BAURU
28/02/2023;32605;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;7;171,6;1201,2;CIDNEI DE FREITAS BAURU
28/02/2023;32605;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;7;171,6;1201,2;CIDNEI DE FREITAS BAURU
28/02/2023;32605;SILVA CARVALHO & CIA SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;7;171,6;1201,2;CIDNEI DE FREITAS BAURU
28/02/2023;32653;SM TIBA LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;30;179;5370;CIDNEI DE FREITAS BAURU
23/03/2023;32583;COMPRE MAIS ALIM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;30;201,5;6045;CIDNEI DE FREITAS BAURU
23/03/2023;32819;SUPERBOM SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;3;160,82;482,46;CIDNEI DE FREITAS BAURU
23/03/2023;32820;SUPERBOM SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;10;160,82;1608,2;CIDNEI DE FREITAS BAURU
23/03/2023;32822;SUPERBOM SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;3;160,82;482,46;CIDNEI DE FREITAS BAURU
23/03/2023;32823;TRIO SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;3;160,82;482,46;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;384;1920;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;11;212,16;2333,76;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;4;322,02;1288,08;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;384;1920;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;11;212,16;2333,76;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;4;322,02;1288,08;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;5;384;1920;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;11;212,16;2333,76;CIDNEI DE FREITAS BAURU
27/03/2023;32605;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;4;322,02;1288,08;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;25;212,16;5304;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;25;212,16;5304;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;10;384;3840;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;8;322,02;2576,16;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;25;212,16;5304;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;10;384;3840;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;10;384;3840;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;8;322,02;2576,16;CIDNEI DE FREITAS BAURU
27/03/2023;32606;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;8;322,02;2576,16;CIDNEI DE FREITAS BAURU
27/03/2023;32608;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;1;322,02;322,02;CIDNEI DE FREITAS BAURU
27/03/2023;32608;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;3;384;1152;CIDNEI DE FREITAS BAURU
27/03/2023;32608;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;1;322,02;322,02;CIDNEI DE FREITAS BAURU
27/03/2023;32608;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;3;384;1152;CIDNEI DE FREITAS BAURU
27/03/2023;32608;SILVA CARVALHO & CIA SM LTDA;4118;AZEITE OLIVA EXT VIRG TRADICAO PET 18X500ML;1;322,02;322,02;CIDNEI DE FREITAS BAURU
27/03/2023;32608;SILVA CARVALHO & CIA SM LTDA;4011P;AZEITE OLIVA EXT VIRG TRADICAO PET 20X500ML;3;384;1152;CIDNEI DE FREITAS BAURU
31/03/2023;32877;J A DUARTE & CIA LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;25;160,8;4020;CIDNEI DE FREITAS BAURU
31/03/2023;32943;MACA FRIOS COMERCIAL EIRELI;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;10;156;1560;CIDNEI DE FREITAS BAURU
31/03/2023;32943;MACA FRIOS COMERCIAL EIRELI;4448S;OLEO COMP SOJA E OLIVA TRADICAO GAL 4X5,01LT;5;245;1225;CIDNEI DE FREITAS BAURU
31/03/2023;32944;DISTR DE BEB MAITAN LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;2;182,6;365,2;CIDNEI DE FREITAS BAURU
31/03/2023;32945;DISTR DE BEB MAITAN LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;3;182,6;547,8;CIDNEI DE FREITAS BAURU
31/03/2023;32947;DISTR DE BEB MAITAN LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;3;182,6;547,8;CIDNEI DE FREITAS BAURU
14/04/2023;33023;POLISTOCK DISTR DE ALIM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;10;156;1560;CIDNEI DE FREITAS BAURU
18/04/2023;32981;SM SERVE TODOS PIRAJUI LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;3;177,1;531,3;CIDNEI DE FREITAS BAURU
18/04/2023;32981;SM SERVE TODOS PIRAJUI LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;5;156;780;CIDNEI DE FREITAS BAURU
18/04/2023;32983;SM SERVE TODOS PIRAJUI LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;2;156;312;CIDNEI DE FREITAS BAURU
18/04/2023;32983;SM SERVE TODOS PIRAJUI LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;1;177,1;177,1;CIDNEI DE FREITAS BAURU
18/04/2023;32985;SM SERVE TODOS PIRAJUI LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;1;177,1;177,1;CIDNEI DE FREITAS BAURU
18/04/2023;32985;SM SERVE TODOS PIRAJUI LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;1;156;156;CIDNEI DE FREITAS BAURU
18/04/2023;32987;SM SERVE TODOS PIRAJUI LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;1;156;156;CIDNEI DE FREITAS BAURU
18/04/2023;32987;SM SERVE TODOS PIRAJUI LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;2;177,1;354,2;CIDNEI DE FREITAS BAURU
18/04/2023;32989;SM SERVE TODOS PIRAJUI LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;1;177,1;177,1;CIDNEI DE FREITAS BAURU
18/04/2023;32989;SM SERVE TODOS PIRAJUI LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;1;156;156;CIDNEI DE FREITAS BAURU
18/04/2023;32991;SM SERVE TODOS PIRAJUI LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;1;156;156;CIDNEI DE FREITAS BAURU
18/04/2023;32991;SM SERVE TODOS PIRAJUI LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;1;177,1;177,1;CIDNEI DE FREITAS BAURU
18/04/2023;32993;SM SERVE TODOS PIRAJUI LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;1;177,1;177,1;CIDNEI DE FREITAS BAURU
18/04/2023;32993;SM SERVE TODOS PIRAJUI LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;1;156;156;CIDNEI DE FREITAS BAURU
26/04/2023;33070;GRANDD ATAC DE CONGELADOS LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;5;177,1;885,5;CIDNEI DE FREITAS BAURU
26/04/2023;33130;L F SERRANO - ME;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;1;156,9;156,9;CIDNEI DE FREITAS BAURU
26/04/2023;33130;L F SERRANO - ME;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;1;177,1;177,1;CIDNEI DE FREITAS BAURU
12/05/2023;32728;MEGA DOCE PAO SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;10;210,6;2106;CIDNEI DE FREITAS BAURU
12/05/2023;32728;MEGA DOCE PAO SM LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;3;400,7;1202,1;CIDNEI DE FREITAS BAURU
12/05/2023;32818;COML DE PROD ALIM MINARDI LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;20;210,6;4212;CIDNEI DE FREITAS BAURU
12/05/2023;32879;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;20;252,36;5047,2;CIDNEI DE FREITAS BAURU
12/05/2023;32879;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;20;252,36;5047,2;CIDNEI DE FREITAS BAURU
12/05/2023;32879;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;20;252,36;5047,2;CIDNEI DE FREITAS BAURU
12/05/2023;32881;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;252,36;2523,6;CIDNEI DE FREITAS BAURU
12/05/2023;32881;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;252,36;2523,6;CIDNEI DE FREITAS BAURU
12/05/2023;32881;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;10;252,36;2523,6;CIDNEI DE FREITAS BAURU
12/05/2023;32882;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;35;252,36;8832,6;CIDNEI DE FREITAS BAURU
12/05/2023;32882;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;35;252,36;8832,6;CIDNEI DE FREITAS BAURU
12/05/2023;32882;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;35;252,36;8832,6;CIDNEI DE FREITAS BAURU
12/05/2023;32884;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
12/05/2023;32884;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
12/05/2023;32884;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
12/05/2023;32880;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
12/05/2023;32880;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
12/05/2023;32880;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
15/05/2023;33065;CIMI SM LTDA;4493;OLEO COMP SOJA E OLIVA OLIVAIS DE BARCELONA FR 24X500ML;5;156;780;CIDNEI DE FREITAS BAURU
15/05/2023;33273;SM BOA ESPERANCA SERVE LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;3;177,1;531,3;CIDNEI DE FREITAS BAURU
15/05/2023;32813;MERC GS DE GARCA LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;6;239,8;1438,8;CIDNEI DE FREITAS BAURU
15/05/2023;32813;MERC GS DE GARCA LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;3;400,7;1202,1;CIDNEI DE FREITAS BAURU
15/05/2023;32820;SUPERBOM SM LTDA;4059;AZEITE OLIVA EXT VIRG TRADICAO LT 24X200ML;3;240,1;720,3;CIDNEI DE FREITAS BAURU
15/05/2023;32820;SUPERBOM SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;10;217,11;2171,1;CIDNEI DE FREITAS BAURU
15/05/2023;32820;SUPERBOM SM LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;5;413,09;2065,45;CIDNEI DE FREITAS BAURU
15/05/2023;32819;SUPERBOM SM LTDA;4059;AZEITE OLIVA EXT VIRG TRADICAO LT 24X200ML;2;240,1;480,2;CIDNEI DE FREITAS BAURU
15/05/2023;32819;SUPERBOM SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;6;217,11;1302,66;CIDNEI DE FREITAS BAURU
15/05/2023;32819;SUPERBOM SM LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;3;413,09;1239,27;CIDNEI DE FREITAS BAURU
15/05/2023;32822;SUPERBOM SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;6;217,11;1302,66;CIDNEI DE FREITAS BAURU
15/05/2023;32822;SUPERBOM SM LTDA;4059;AZEITE OLIVA EXT VIRG TRADICAO LT 24X200ML;2;240,1;480,2;CIDNEI DE FREITAS BAURU
15/05/2023;32827;SM RIO BRANCO DE GALIA LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;3;239,8;719,4;CIDNEI DE FREITAS BAURU
15/05/2023;32827;SM RIO BRANCO DE GALIA LTDA;4011S;AZEITE OLIVA EXT VIRG TRADICAO VD 20X500ML;5;400,7;2003,5;CIDNEI DE FREITAS BAURU
15/05/2023;32827;SM RIO BRANCO DE GALIA LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;4;210,6;842,4;CIDNEI DE FREITAS BAURU
15/05/2023;32823;TRIO SM LTDA;4059;AZEITE OLIVA EXT VIRG TRADICAO LT 24X200ML;2;240,1;480,2;CIDNEI DE FREITAS BAURU
15/05/2023;32823;TRIO SM LTDA;4117;AZEITE OLIVA EXT VIRG BARCELONA FR 12X500ML;6;217,11;1302,66;CIDNEI DE FREITAS BAURU
15/05/2023;32885;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
15/05/2023;32885;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
15/05/2023;32885;SM SAO JUDAS TADEU LTDA;4783;AZEITE OLIVA EXT VIRG BARCELONA VITRAIS VD 12X500ML;15;252,36;3785,4;CIDNEI DE FREITAS BAURU
15/05/2023;33290;SM VIEIRA DIAS DA SILVA DE BAURU LTDA;4363S;OLEO COMP SOJA E OLIVA TRADICAO VD 20X500ML;13;198,4;2579,2;CIDNEI DE FREITAS BAURU
